Car EvNum,Ped EvNum,Car Distance,Brake Pedal,COUNTER,F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4
0,0,550942.1875,0.0,88,5666,734,12383,11167,13216,7971,10847,33,7839,6302,12449,5791,7200,10845,
0,0,550942.1875,0.0,89,5730,926,13023,11935,13536,8355,11167,33,7199,5470,12897,5407,7456,10653,
0,0,550959.1875,0.0,90,5793,15902,12383,11551,13536,8483,11359,33,9439,7518,14433,5087,7712,10909,
0,0,550959.1875,0.0,91,5858,1118,12447,11103,13472,8227,11359,33,6367,5214,12257,3743,6688,10269,
0,0,550959.1875,0.0,92,5921,15774,12255,11423,14112,8227,11359,33,6687,4958,11553,4447,7456,10141,
0,0,550975.1875,0.0,93,5986,94,12319,11359,13152,8355,10591,33,7775,5982,12833,5087,7200,10589,
0,0,550975.1875,0.0,94,6050,670,12511,11487,13344,8227,11359,33,7519,5854,12833,4831,7328,10461,
0,0,550991.1875,0.0,95,6113,15966,12191,11359,13664,7843,11231,33,9439,7390,13601,5727,8352,10781,
0,0,550991.1875,0.0,96,6178,1822,12959,11423,13536,8291,10719,33,6623,5470,12321,5023,7136,10781,
0,0,551007.1875,0.0,97,6242,30,12575,11807,14048,8547,11423,33,7583,5854,12257,5215,7584,11037,
0,0,551007.1875,0.0,98,6305,16350,12127,11551,13344,8163,10847,33,8223,6046,12769,5215,7712,10781,
0,0,551023.1875,0.0,99,6370,1246,12767,11615,13600,8419,11167,33,6047,4318,11745,4191,6816,9949,
0,0,551023.1875,0.0,100,6433,15582,12255,11423,13984,8227,11423,33,8991,7006,13089,5343,7584,10653,
0,0,551039.1875,0.0,101,6498,862,12703,11295,13152,7971,10591,33,7327,5982,12705,5023,7392,10589,
0,0,551039.1875,0.0,102,6562,414,12831,11423,13728,8163,11231,33,7199,5662,12641,4767,8096,10589,
0,0,551055.1875,0.0,103,6626,350,12383,11423,13920,8035,11231,33,9183,7198,13601,5279,8224,11293,
0,0,551055.1875,0.0,104,6690,1502,12831,11999,13856,8547,11423,33,6495,4638,11809,4383,6816,10397,
0,0,551071.1875,0.0,105,6753,15774,12447,11551,13792,8483,11167,33,7583,5278,11937,4703,7136,10141,
0,0,551071.1875,0.0,106,6818,606,12575,10975,13408,8035,10591,33,7199,5406,12129,4895,7072,10589,
0,0,551088.1875,0.0,107,6882,94,12639,11679,14112,8355,11487,33,8095,6366,13089,5151,7712,10717,
0,0,551088.1875,0.0,108,6945,16030,12255,11487,13728,8355,11039,33,9631,7838,14497,5087,7648,10781,
0,0,551104.1875,0.0,109,7010,1310,13023,11295,13344,8419,10527,33,5727,4574,12065,3423,6752,10013,
0,0,551104.1875,0.0,110,7073,15774,12511,11487,13792,8227,10911,33,7455,5470,11745,4447,7712,10333,
0,0,551120.1875,0.0,111,7138,734,12255,11423,13344,8099,10463,33,8351,6430,12705,5087,7072,10845,
0,0,551120.1875,0.0,112,7202,670,12895,11551,13984,8291,11039,33,7455,5982,12833,5023,7520,10845,
0,0,551136.1875,0.0,113,7265,15838,12639,11295,13920,8099,11167,33,8671,7262,13473,5663,8416,11101,
0,0,551136.1875,0.0,114,7330,1438,12511,11231,13088,8547,11167,33,6111,5022,11553,4191,6880,10141,
0,0,551152.1875,0.0,115,7393,16094,12063,11359,13472,8483,11359,33,7583,5662,11681,4383,7200,9885,
